objectid_1,objectid,po_legalst,po_legal_1,po_hgu,po_area_hg,subgroup,groupid,source,zsl,group_comp,shape_leng,type,area_ha,country,company,name,gfwid,globalid,shape_Length,shape_Area
526,526,Proses,HGU in process, ,0, ,99,varies,0,No group,33802.6645989,HGU in process,4123,IDN,PT. MINERAL BUMI REKSA PERDANA,PT. MINERAL BUMI REKSA PERDANA,b9a25d79-d93c-4fd6-ac8d-310a69ee00f1,{8191133F-FAA1-4921-AC19-AA0F10408D15},33802.6644688572,41554490.1145418
527,527, , , ,0, ,99,varies,0,No group,35760.8631768, ,2815,IDN,KOP. BINA USAHA,KOP. BINA USAHA,e1c7363a-e6c0-41b2-bfeb-edd34e60fcea,{B1AA9869-2CEE-4548-AE22-37E1ABD1456C},35760.863123918,28358384.0850906
528,528,HGU,HGU, ,0, ,99,varies,0,No group,88626.6925463,HGU,10522,IDN,PT. Karya Makmur Bahagia,PT. Karya Makmur Bahagia 1,ea292d7a-9259-43c2-8df9-8270ac4ce97f,{DF130635-67F0-4A1D-83B2-356A9B6D724F},88626.6928893968,106013705.388063
529,529,Proses,HGU in process, ,0, ,99,varies,0,No group,27379.9135759,HGU in process,4158,IDN,PT. HUTANINDO AGRO LESTARI,PT. HUTANINDO AGRO LESTARI 3,51d7cc27-97f0-4d44-88fd-9f851e74b167,{F51110C8-570D-453A-BAD6-77DCA56AEA2C},27379.9136677994,41898925.4018095
530,530,HGU,HGU,06/HGU/BPN/06 TGL. 05/05/2006,7114.14, ,99,varies,0,No group,43575.8439693,HGU,8284,IDN,PT. SARANA PRIMA MULTI NIAGA,PT. SARANA PRIMA MULTI NIAGA,f5c3a9a1-d99b-42ae-a518-f27161af0fe9,{891AFB3B-8BA7-4DDE-B141-1F4CCA46F564},43575.8440374179,83498833.7811534
531,531,HGU,HGU, ,0, ,99,varies,0,No group,33364.0267917,HGU,2418,IDN,PT. Bumi Hutani Lestari,PT. Bumi Hutani Lestari 1,2cdd7d8f-134f-4411-85a3-4711e2da40b3,{BB2E21F0-021D-4D8A-B336-7BAC8747D79A},33364.0264278475,24358933.2727039
532,532,Proses,HGU in process, ,0, ,99,varies,0,No group,48261.424573,HGU in process,8049,IDN,PT. TUNAS AGRO SUBUR KENCANA,PT. TUNAS AGRO SUBUR KENCANA 2,59d15f98-acf6-4c8d-a691-d4104845534c,{87935E0F-E469-40DE-942E-9AABCBC9141B},48261.4244968237,81103428.1194178
533,533, , , ,0, ,99,varies,0,No group,14868.8031716, ,1250,IDN,PT. NABATINDO KARYA UTAMA,PT. NABATINDO KARYA UTAMA,2a2297d3-7f46-4af9-b600-3997bd3d36e8,{C564E403-DFFD-407B-9E77-7BD6CD2B33E1},14868.8030129678,12592351.5856944
534,534,Proses,HGU in process, ,0, ,99,varies,0,No group,29554.2461509,HGU in process,3537,IDN,PT. WINDU NABATINDO LESTARI,PT. WINDU NABATINDO LESTARI 4,4e10643d-d457-465a-a1ff-b4e7dfd7092f,{4821F5E2-CBF8-4EF7-8504-53FA89D65064},29554.2462640022,35646649.29518
535,535,Proses,HGU in process, ,0, ,99,varies,0,No group,18376.3801405,HGU in process,1473,IDN,PT. Windu Nabatindo Abadi EX SURYA BAROKAH,PT. Windu Nabatindo Abadi EX SURYA BAROKAH 4,2a388098-3746-4865-b279-759c4cd00110,{30CA259F-FA99-4142-AB0D-9286C6FCECA4},18376.3801151748,14839633.3174481
536,536,Proses,HGU in process, ,0, ,99,varies,0,No group,10844.9323434,HGU in process,479,IDN,PT. WINDU NABATINDO LESTARI,PT. WINDU NABATINDO LESTARI 5,5e1d0e5a-b710-422f-8fb9-0851a500a621,{BE43451E-B785-48ED-8284-3C8230043415},10844.9322582483,4829768.32807845
537,537,Proses,HGU in process, ,0, ,99,varies,0,No group,30091.1672411,HGU in process,4967,IDN,PT. HAMPALIT JAYA,PT. HAMPALIT JAYA,9e62cec1-a3ec-4176-abe1-48e58a9953c9,{240448BA-46D4-419D-88B8-45EE25E06E49},30091.1671396518,50058339.1288608
538,538,Proses,HGU in process, ,0, ,99,varies,0,No group,54711.7826382,HGU in process,4826,IDN,PT. WINDU NABATINDO SEJAHTERA,PT. WINDU NABATINDO SEJAHTERA,39e958bb-a21c-45e5-beed-f08c352f4557,{020D5102-E986-4CDF-BC6E-8CA90410C038},54711.7824666288,48637029.6841993
539,539,Proses,HGU in process, ,0, ,99,varies,0,No group,53865.5346671,HGU in process,8287,IDN,PT. MULYA SAWIT AGRO LESTARI,PT. MULYA SAWIT AGRO LESTARI 2,a27672be-bcd3-47d1-bcca-6d8e98183c4c,{64078D78-544C-499B-8874-65D058BCF9DE},53865.5343609195,83489375.7301955
540,540, , , ,0, ,99,varies,0,No group,43046.4431194, ,12206,IDN,PT. MITRA JAYA AGRO PALM,PT. MITRA JAYA AGRO PALM,3965f53a-7aa9-4bf3-994b-9689263859b4,{EFE1D430-87BA-4FB2-9538-A590645E0383},43046.4431019672,123008912.56197
541,541, , , ,0, ,99,varies,0,No group,48305.8952413, ,12037,IDN,PT. KALIMANTAN RIA SEJAHTERA,PT. KALIMANTAN RIA SEJAHTERA,45f9c8d6-cec2-46cc-85ac-9e9906673674,{40D4EF7F-0E49-4851-A4F8-00B97A7FA712},48305.8951857631,121232829.44174
542,542,HGU,HGU,43/HGU/BPN/96 tgl.16-10-1996,8964, ,99,varies,0,No group,45696.4301083,HGU,8581,IDN,PT. GUNUNG SEJAHTERA DUA INDAH,PT. GUNUNG SEJAHTERA DUA INDAH,7e3b75e0-375c-47ad-a33b-93e6697cec3b,{35EB4137-EB21-41E7-B838-4FAF26C3D8F7},45696.4302185595,86526325.7383992
543,543,HGU,HGU,41/HGU/BPN/96 tgl.16-10-1996,7448.56, ,99,varies,0,No group,42794.8177475,HGU,7484,IDN,PT. AGRO MENARA RAHMAT,PT. AGRO MENARA RAHMAT,bdc859cc-9d75-4086-9362-096dd2e46574,{C9863D6A-61D6-4094-AE02-D64EB6D7F10A},42794.8178068497,75471455.8888583
544,544,HGU,HGU, ,0, ,66,varies,18,Sime Darby,27923.884254,HGU,4517,IDN,PT. TEGUH SEMPURNA,PT. TEGUH SEMPURNA 2,6ad4ba3c-ec0a-4ca4-84dd-f2b38314fa0c,{863C27F7-384C-43D2-9057-EE14154EB1A5},27923.8843656679,45536793.7369421
545,545,HGU,HGU,77/HGU/BPN/04 tgl.07/10/2004,2812.39, ,27,varies,0,Indhasana Group,39664.8929368,HGU,3768,IDN,PT. Gemareksa Mekarsari,PT. Gemareksa Mekarsari 2,beb288c1-215e-40f5-9b3a-25a43040a123,{49C4DDB3-BA69-4B65-BF3A-FEECD4A29599},39664.8928054301,37984514.7354173
546,546, , , ,0, ,5,varies,0,Astra International,16903.8714568, ,1387,IDN,PT. Nirmala Agro Lestari,PT. Nirmala Agro Lestari 2,6a7f8323-f4c6-4828-a9ed-82e102ba9a28,{091CD69E-25D6-4D6E-AA6E-6CFA61F84B97},16903.8714742651,13984757.3747378
547,547, , , ,0, ,99,varies,0,No group,16431.9293575, ,1339,IDN,PT. SAWIT PRIMA LESTARI,PT. SAWIT PRIMA LESTARI 1,3d0ba852-ec16-4e2f-a25c-c7ddca592f36,{E5C5C11A-0544-4A5F-8A90-3FC9FCC988FA},16431.9294828058,13497521.6125682
548,548, , , ,0, ,99,varies,0,No group,11280.5674571, ,640,IDN,PT. SAWIT PRIMA LESTARI,PT. SAWIT PRIMA LESTARI 2,191ae748-aa31-46e6-ae4b-9ed4f36d0303,{49DB7347-042F-4B09-956F-BAE87034A557},11280.5675705492,6446749.53029503
549,549, , , ,0, ,68,varies,0,Sinar Mas,21241.0738612, ,2015,IDN,PT. BUANA ADHITAMA,PT. BUANA ADHITAMA 1,efb9484a-806e-4e4a-b0bc-c55d838ce352,{94F73C16-61E0-467F-B30B-FDF00F49D1B6},21241.073834933,20311985.972334
550,550, , , ,0, ,68,varies,0,Sinar Mas,84874.8789253, ,9491,IDN,PT. BUANA ADHITAMA,PT. BUANA ADHITAMA 2,79334c45-9df9-4f46-975f-d67226a8615a,{5660D895-0A75-4F60-B67A-9A0FB39BC0E1},84874.8790171792,95643492.2523113
551,551, , , ,0, ,99,varies,0,No group,112663.823187, ,27508,IDN,PT. GLOBALINDO AGUNG LESTARI,PT. GLOBALINDO AGUNG LESTARI 2,649902cd-c682-42c2-8860-43504d0a7794,{1483A369-EEE7-4DBB-9E0F-4D7D4D88E842},112663.823473695,277474741.009323
552,552, , , ,0, ,99,varies,0,No group,96388.2707456, ,21471,IDN,PT. OLONG JAYA RAYA,PT. OLONG JAYA RAYA,da1f213e-d68f-49f1-ae7c-4229e29271f2,{CDC8F41A-CBAD-491C-BDFC-345C1C8CA0AE},96388.2706503672,216191545.941763
553,553,HGU,HGU, ,0, ,41,varies,0,Mantimin Coal Mining,51329.7255077,HGU,6572,IDN,PT. Multi Persada Gatra Megah,PT. Multi Persada Gatra Megah 1,39cfeb1e-f9a5-4def-adcf-e2fc6d2bf3d4,{8B5588AF-AD94-44EB-8033-06004CECA34A},51329.7256948622,66177008.9285355
554,554, , , ,0, ,99,varies,0,No group,36076.0988804, ,5221,IDN,PT. MURA SAWIT CIPTA PERSADA,PT. MURA SAWIT CIPTA PERSADA 1,1b0cc915-c6f8-4c20-b375-319f301aa487,{DE18F50E-8BAF-4996-98EC-B80C010085DE},36076.0990902506,52570816.0975504
555,555, , , ,0, ,99,varies,0,No group,33922.5010316, ,2949,IDN,PT. MURA SAWIT CIPTA PERSADA,PT. MURA SAWIT CIPTA PERSADA 2,acfcc458-49e1-4a45-b338-001283a13d95,{328B5DD6-C047-4F68-A404-FC1457925836},33922.501074818,29688782.2870315
556,556, , , ,0, ,99,varies,0,No group,20048.6258105, ,1803,IDN,KOP. MTRA USAHA PUTRA BATARA,KOP. MTRA USAHA PUTRA BATARA,24541766-eecf-447b-af09-d7afc134bd6a,{440B1A16-A0EA-46DA-A2DE-44FEFF582ACB},20048.6256104926,18158589.6164158
557,557, , , ,0, ,99,varies,0,No group,36104.1278228, ,5578,IDN,PT. SINAR BENUA,PT. SINAR BENUA 1,1e3d479a-1032-4c7f-a163-b680caaa91a2,{265D1874-4071-4AF9-B4F9-FF7667A5D0B1},36104.1277758101,56162140.299707
558,558, , , ,0, ,99,varies,0,No group,30187.7532174, ,3055,IDN,PT. SINAR BENUA,PT. SINAR BENUA 2,2c220535-37d8-4682-ac9f-33ba2cedb30d,{9DF62242-6EED-4921-BBB1-C84AAD32C89B},30187.7534451616,30760532.1569863
559,559, , , ,0, ,77,varies,25,Wilmar,41018.2309237, ,9070,IDN,PT. PETAK MALAI SAWIT MAKMUR,PT. PETAK MALAI SAWIT MAKMUR 2,dc0b112b-e0ef-4923-be34-a7f3619bcc29,{BF29FC6D-F1F7-4FDA-971C-0B7F4A245390},41018.2308046216,91583113.2102343
560,560,HGU,HGU,58/HGU/BPN/1999,0, ,66,varies,18,Sime Darby,28039.6017937,HGU,2396,IDN,PT. Kridatama Lancar,PT. Kridatama Lancar 1,433b099e-23e1-443d-9c9c-046b09e085d5,{465263A5-DE49-40F3-9C28-6A91124694DF},28039.6019482262,24150945.1801677
561,561,Ijin Lokasi,Ijin Lokasi, ,0, ,99,varies,0,No group,60057.2355245,Ijin Lokasi,14290,IDN,PT. Hamanesia,PT. Hamanesia,5f7579ad-2195-4cd5-be6b-8650257b70c1,{C10E306D-AEE7-48B6-92EB-D1B0360E6E2B},60057.2356270081,143928198.749974
